id,followers_count,comment_count,post_count,like_count,friends_count,group_count,posts_count,reposts_count,videos_count,audios_count,photos_count,gifts_count
1831,5634,148,900,153,1701,814,233,226,3463,6916,2061,0
1832,27,7,900,287,186,928,161,314,398,4942,72,0
1833,40,246,1998,795,37,224,52,1387,104,149,9,0
1834,61,189,1678,2718,103,358,2,1618,388,0,120,0
1835,173,1,800,199,87,2202,134,516,3682,0,143,21
1836,88,477,200,1980,175,252,5,194,342,0,249,0
1837,201,50,400,1302,242,658,69,330,1304,0,941,0
1838,83,15,600,238,114,326,109,352,23,194,301,0
1839,295,8,598,7,362,214,336,32,88,86,780,16
1840,46,56,1400,820,155,534,66,1334,167,0,718,0
1841,466,15,1700,127,273,246,181,1251,1161,2079,1096,7
1842,0,599,400,869,145,256,142,112,2017,0,118,0
1843,161,378,100,33,39,182,3,4,22,0,177,0
1844,475,5,600,119,126,650,152,237,158,654,4305,0
1845,103,1,2600,477,54,2222,17,1980,135,253,504,0
1846,286,150,400,139,162,446,296,104,596,0,1118,0
1847,161,7,1600,164,87,106,138,806,97,0,1775,0
1848,39,1994,100,379,34,460,23,77,234,0,343,0
1849,511,16,3266,101,73,0,14,611,8399,0,5711,13
1850,183,68,1380,650,248,0,76,669,154,837,341,18
1851,238,2,1400,613,46,0,46,940,44,0,432,0
1852,91,1,800,273,3,530,9,635,478,440,164,11
1853,17,9,700,386,114,1138,121,579,393,57,1122,21
1854,151,48,600,335,80,412,16,447,218,1532,116,0
1855,112,3429,237,364,47,0,29,6,787,446,394,0
1856,18,1,4170,349,120,0,104,3389,144,0,314,16
1857,50,185,600,2275,39,62,154,320,55,118,2037,36
1858,54,5,1500,86,18,308,165,1088,128,0,184,21
1859,20,36,3541,322,32,0,208,1068,688,286,536,17
1860,144,1501,199,618,161,234,31,4,20,21,234,4
1861,11,14,1100,662,28,0,36,572,138,109,350,2
1862,17,46,5517,417,36,0,57,410,621,341,656,14
1863,78,3,1172,605,48,0,0,1116,28,19,14,0
1864,9,11,600,625,13,0,28,525,3,0,186,0
1865,6,21,2500,2735,8,0,136,1889,6,0,858,5
1866,4,3,6186,1058,82,0,223,4385,17,6,381,16
1867,507,30,1600,25,163,0,15,1042,1553,0,25,0
1868,45,44,798,25,16,254,144,311,166,0,275,0
1869,37,14,700,190,8,194,43,376,8,0,63,3
1870,184,6,600,1206,106,550,299,135,29,0,2276,0
1871,21,3086,100,3293,38,10,16,1,9,658,726,6
1872,3,6,1303,72,128,0,6,1271,1,18,5,19
1873,7,2,971,49,11,0,342,629,20,201,131,12
1874,111,3,600,13,76,0,48,320,24,92,86,21
1875,203,295,400,55,98,212,83,156,106,0,182,0
1876,3,37,800,727,19,0,11,767,100,461,29,0
1877,608,503,10021,415,743,834,196,196,798,2358,4763,0
1878,300,301,3774,55,609,184,389,38,212,1659,1115,0
1879,19,17,1300,368,94,0,88,802,61,97,393,0
1880,977,64,599,97,1425,0,322,115,65,213,8712,102
1881,222,1654,200,269,170,122,24,49,95,0,2667,0
1882,67,152,600,225,1443,28,52,315,441,350,8760,0
1883,539,2,843,1,152,0,481,4,29,0,992,0
1884,15,1,799,118,14,0,294,372,3904,0,2289,0
1885,142,7,1200,1066,30,1984,26,994,107,380,344,15
1886,16,20,799,195,60,204,65,502,406,516,655,60
1887,16,106,27400,3141,15,494,1310,21467,94,229,1101,24
1888,10,51,1100,893,4004,1650,3,797,133,124,467,27
1889,102,108,400,138,117,258,28,355,1512,667,2357,0
1890,372,40,1600,1624,343,1010,353,486,129,0,1404,0
1891,51,71,800,205,402,792,35,468,173,481,93,18
1892,614,256,300,260,1340,1514,259,41,1445,0,286,0
1893,29,880,200,413,38,0,109,50,13,28,111,2
1894,28,180,2980,142,131,1062,59,1852,800,1362,207,8
1895,122,4,599,108,149,754,65,313,46,55,1163,21
1896,43,5,700,135,682,88,161,253,256,0,602,0
1897,132,1,1800,728,42,0,6,1794,153,0,86,0
1898,342,1,500,263,99,2436,1,372,1315,46,301,8
1899,178,1256,100,51,48,152,15,2,238,3979,514,0
1900,16,1,900,168,81,1088,48,621,152,1191,354,13
1901,428,21,900,154,23,328,123,271,233,1208,579,50
1902,217,4,1200,821,118,644,341,442,85,0,187,0
1903,60,3,1600,446,6,92,36,1330,283,0,237,0
1904,727,1,399,2837,47,2304,93,306,182,1511,132,0
1905,148,310,700,295,27,490,120,451,22,0,13,0
1906,1348,8,1100,394,135,0,194,414,2265,1844,28991,661
1907,110,19,11100,144,48,0,13,7290,149,2938,37,30
1908,52,218,1315,2117,47,0,34,423,281,0,775,0
1909,52,12,1300,88,16,0,195,1026,100,160,643,2
1910,104,3287,100,4520,36,88,20,15,77,0,103,0
1911,4,47,400,67,2,34,3,331,57,0,3,1
1912,184,103,434,104,54,86,264,170,37,0,143,0
1913,125,28,3198,172,52,108,394,1988,10,697,551,17
1914,27,53,8559,91,13,1222,53,3203,7,0,54,23
1915,0,5,2699,30,43,472,1238,92,303,444,5531,8
1916,30,1,1300,76,13,252,4,1199,0,0,16,0
1917,19,42,731,324,5,0,104,566,22,254,457,6
1918,249,2,2550,685,63,0,72,2478,1,0,973,7
1919,280,43,5134,225,860,506,274,194,3192,663,4419,10
1920,1089,128,999,1026,308,704,97,601,624,0,366,0
1921,63,1992,100,195,651,138,5,14,250,0,68,0
1922,353,27,700,492,291,254,23,574,411,0,305,0
1923,17,2056,151,1198,205,124,80,9,943,0,12,0
1924,467,20,500,242,1236,692,144,356,713,0,2838,0
1925,195,549,500,513,59,324,34,319,200,0,276,0
1926,7,10,600,353,16,0,201,399,294,0,1622,0
1927,518,80,599,490,200,752,100,320,39,0,476,17
1928,395,171,1200,460,174,192,3,957,4108,0,5,98
1929,149,19,2003,32,189,278,48,540,172,218,1450,8
1930,91,923,300,300,197,36,101,199,636,0,211,0
1931,67,19,400,655,47,0,53,347,80,0,228,0
1932,46,1,2300,115,74,248,8,1618,307,0,7,0
1933,22,3,800,289,91,0,33,448,62,0,52,0
1934,350,302,300,336,3140,104,155,145,910,1012,1328,0
1935,471,48,1400,1264,507,634,245,582,1230,786,1523,41
1936,24,1,2000,211,58,258,39,1867,327,307,163,16
1937,18,59,700,186,129,36,15,685,69,0,68,0
1938,146,20,998,3339,74,822,522,34,211,67,5288,0
1939,39,1,1200,182,44,64,25,1175,5,0,95,0
1940,715,73,2400,5355,162,126,12,1425,446,0,353,0
1941,1427,15,1299,749,123,3904,140,718,1001,644,2783,0
1942,1,18,600,531,38,0,554,46,70,0,2385,11
1943,13,111,800,359,483,316,30,420,565,403,457,0
1944,356,706,500,391,281,468,292,43,233,0,1490,0
1945,38,2,1500,741,329,1126,267,845,35,0,1159,0
1946,14,2,800,662,17,0,5,676,51,0,1269,0
1947,19,11,799,25,51,294,34,459,0,0,0,17
1948,130,4,1400,1423,146,144,26,710,48,0,252,0
1949,3747,523,1268,49,114,44,519,106,132,655,345,55
1950,50,432,100,192,10,52,8,0,99,35,70,7
1951,405,1,900,104,101,1624,26,447,154,695,2512,0
1952,52,122,700,672,48,320,352,58,179,73,3304,49
1953,71,75,600,1035,14,0,293,129,159,667,397,19
1954,17,4238,400,16648,13,26,126,237,23,112,8,7
1955,118,6,1400,1089,13,276,6,1004,28,336,23,13
1956,223,23,800,170,28,194,32,463,36,427,133,0
1957,112,24,599,34,10,438,52,332,11,0,62,0
1958,35,1,1540,87,233,0,54,764,96,488,147,0
1959,95,50,2593,1977,29,1006,78,1719,39,0,47,0
1960,2,1,1500,8,8,0,27,1110,88,0,31,0
1961,22,311,2300,2164,45,916,178,1237,40,2,659,26
1962,241,978,2000,773,249,3008,582,844,3127,3,36786,7
1963,172,1,1199,100,31,860,47,716,217,353,39,10
1964,34,47,1155,2504,16,124,16,404,28,0,92,0
1965,28,9,700,318,75,0,143,294,16,2,1700,7
1966,410,4,8000,172,5,0,6,4222,0,0,7,0
1967,140,24,7553,28,36,784,316,5418,614,491,1790,20
1968,13,61,2200,43,9,646,132,1894,130,32,79,4
1969,111,46,900,700,48,0,0,900,3,0,7,0
1970,24,3,1723,14,5,64,970,130,13,3,39,6
